地域,年平均気温,年間降水量
北海道,10,905
青森県,11.6,1417
岩手県,11.4,1462
宮城県,13.7,1247
秋田県,12.8,2022.5
山形県,13,1284.5
福島県,14.1,1224.5
茨城県,15,1422
栃木県,15,1353.5
群馬県,15.8,1315.5
埼玉県,16.2,1364
千葉県,17,1791.5
東京都,16.5,1590
神奈川県,17,1687.5
新潟県,14.7,2077.5
富山県,15.4,2136
石川県,15.9,2535.5
福井県,15.6,2531.5
山梨県,15.9,1431
長野県,13.1,1030
岐阜県,17,2088.5
静岡県,17.8,2613.5
愛知県,17,1711
三重県,17.1,1787
滋賀県,15.8,1862.5
京都府,17,1644.5
大阪府,17.7,1521.5
兵庫県,17.6,1614.5
奈良県,16.3,1628.5
和歌山県,17.5,1657.5
鳥取県,15.9,2096
島根県,15.8,2015
岡山県,16.5,1154
広島県,17.1,2026.5
山口県,16.1,2277
徳島県,17.5,1644
香川県,17.4,1108.5
愛媛県,17.3,1662
高知県,17.8,3238.5
福岡県,17.9,2212.5
佐賀県,17.5,2876
長崎県,17.7,2709.5
熊本県,17.6,2467.5
大分県,17.4,1860
宮崎県,18.3,2279.5
鹿児島県,19.2,2977.5
沖縄県,23.8,2481
